tweet_id,username,politician,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,sentiment,sentiment_label
1904844968520204663,IreneMontero,Irene Montero,Wed Mar 26 10:36:45 +0000 2025,"La Quinta Asamblea de Podemos ya está en marcha 😊 Hasta mañana puedes avalar a tus precandidatas/os aquí 
https://t.co/iC1cxqvqnI 

En Podemos hacemos política sin pedir un euro a los bancos, y las decisiones importantes las toma la gente. No os olvidéis de participar 💜",629,354,94,20199,270,0,0,1,0.6597,positive
1904259245429690703,IreneMontero,Irene Montero,Mon Mar 24 19:49:18 +0000 2025,"Nunca más. Memoria, verdad, justicia.

Inmensamente agradecidas por habernos dejado compartir este 24 de marzo con ustedes 💜🇦🇷🥰 https://t.co/3YPPIC2Zw3",3749,907,399,99602,151,0,0,1,0.8074,positive
1903847905024221658,IreneMontero,Irene Montero,Sun Mar 23 16:34:46 +0000 2025,Colombia es hoy gran esperanza para la humanidad por la valentía y dignidad de su pueblo y su Gobierno en defensa de la democracia y la vida . Es un privilegio compartir camino y amistad con @PizarroMariaJo y @andrescamachom_ . Con ustedes siempre: lo mejor está por venir 💜 https://t.co/Lgvu2Eatvv,1563,529,209,41815,298,0,2,1,0.6369,positive
1903806095186968619,IreneMontero,Irene Montero,Sun Mar 23 13:48:38 +0000 2025,"En tiempos de crisis como éste, los dueños del mundo ejercen violencia contra los pueblos para intentar que nada cambie y sostener sus privilegios https://t.co/YhQ2e20iDt",4278,2177,632,125177,170,0,0,1,-0.6249,negative
1903788081490063524,IreneMontero,Irene Montero,Sun Mar 23 12:37:03 +0000 2025,Nuestro pésame para sus familiares y seres queridos. Que la tierra le sea leve.,675,204,24,45750,79,0,0,0,0.0,neutral
1903215135755268526,IreneMontero,Irene Montero,Fri Mar 21 22:40:23 +0000 2025,El movimiento Ni una menos prendió una llama que desde Argentina nos convocó a todas. Sin ellas no se entendería la huelga feminista de 2018. Hoy pude conocer su espacio y me regalaron una poderosa conversación. Gracias @lucicava86 y que viva la lucha feminista 💜🔥 https://t.co/ANpEWif1Gz,770,301,136,21412,288,0,1,1,-0.4588,negative
1903202777498784047,IreneMontero,Irene Montero,Fri Mar 21 21:51:16 +0000 2025,"La resignación y el conformismo, el “así es la vida” es una alfombra roja al fascismo https://t.co/zt9AnEftHh",3831,1801,787,105307,109,0,0,1,0.0,neutral
1903142903821611470,IreneMontero,Irene Montero,Fri Mar 21 17:53:21 +0000 2025,La vida juntó nuestros caminos siendo ministras y qué suerte la mía. Desde entonces vamos de la mano en la Internacional Feminista y en la vida. Hoy nos hemos vuelto a abrazar y conversar con mi querida compañera y amiga @EliGAlcorta. Muy feliz y agradecida 😊 https://t.co/qXyFp2N9RW,1065,361,137,31293,283,0,1,1,0.7184,positive
1903130935375048989,IreneMontero,Irene Montero,Fri Mar 21 17:05:48 +0000 2025,"Con las compañeras de La Cámpora, hermanas argentinas, compartimos un hermoso camino militante por más justicia social, soberanía y derechos. Y sabemos que por difícil que se ponga, estaremos espalda con espalda. Conmovida por su hospitalidad ayer en Quilmes. Les queremos ✊🏽💜 https://t.co/4z1ZaS8doT",672,316,83,18573,300,0,0,1,0.6369,positive
1903050369334124833,IreneMontero,Irene Montero,Fri Mar 21 11:45:39 +0000 2025,"Ayer pude conversar con el compañero @JuanGrabois sobre el camino que compartimos para construir un mundo de paz, justicia social y más derechos para todas las personas. Son momentos difíciles para la humanidad y por eso estaremos ahí, juntos y juntas, con esperanza y valentía https://t.co/RFF9pV3pTZ",1177,402,188,30106,301,0,1,1,0.0,neutral
1903042757280592019,IreneMontero,Irene Montero,Fri Mar 21 11:15:24 +0000 2025,"Cristina recibe la violencia de los poderosos porque enciende y hace crecer la voluntad de los pueblos de soñar y construir otro mundo posible, más justo.
Ayer puede abrazarla y conversar juntas sobre la necesidad de un mundo de paz y más derechos. 
Siempre contigo @CFKArgentina",4042,1055,1748,209042,279,0,1,0,0.0,neutral
1902721133461299408,IreneMontero,Irene Montero,Thu Mar 20 13:57:23 +0000 2025,"No digas rearme, di “salto tecnológico” Igual que no era una crisis, era una “desaceleración” y no es un genocidio, es una “guerra”. Y no serán recortes sino “cambios en los presupuestos”

Sanchez quiere ser un señor de la guerra pero sin que se note",2708,1543,462,96724,250,0,0,0,-0.9382,negative
1902706578207244603,IreneMontero,Irene Montero,Thu Mar 20 12:59:33 +0000 2025,Esta historia ya la conocemos 👇 https://t.co/FPbHF0Q7oH,2612,1501,258,39756,55,0,0,1,0.0,neutral
1902479955650551891,IreneMontero,Irene Montero,Wed Mar 19 21:59:02 +0000 2025,Hungría prohíbe el Orgullo LGTBIQ+. ¡Respondamos con más orgullo! https://t.co/eBVaJOyj0h,2479,928,1632,214751,89,0,0,1,0.0,neutral
1902413356985667916,IreneMontero,Irene Montero,Wed Mar 19 17:34:24 +0000 2025,Así funciona la manipulación informativa sobre Palestina 👇 https://t.co/inLxI2VBfA,4982,2853,492,66475,82,0,0,1,0.0,neutral
1902413047076983121,IreneMontero,Irene Montero,Wed Mar 19 17:33:10 +0000 2025,"Ninguna querella puede tapar una gestión homicida. Quieren forzar nuestro silencio con querellas: no lo van a conseguir.

Contigo @_PabloFdez_",2618,1092,576,84606,142,0,1,0,-0.296,negative
1902328112043462952,IreneMontero,Irene Montero,Wed Mar 19 11:55:40 +0000 2025,SAME VIBES https://t.co/3HAboJE2Sv,615,372,55,19567,34,0,0,1,0.0,neutral
1902075778965111163,IreneMontero,Irene Montero,Tue Mar 18 19:12:59 +0000 2025,"El comando de extrema derecha Abogados Cristianos no va a callarnos a golpe de guerra sucia. Justicia si, pero para las víctimas de violencia sexual en la Iglesia Católica

Al fascismo se le para con más derechos y libertad de expresión

Contigo, jefe @PabloEchenique ✊🏽",1614,781,285,37404,270,0,1,0,-0.296,negative
1902055993950851473,IreneMontero,Irene Montero,Tue Mar 18 17:54:22 +0000 2025,"En Gaza no hay una guerra, hay un genocidio. Terrorista es el Estado de Israel, que lleva décadas de violencia y ocupación ilegal contra Palestina y 15 meses de macabra ofensiva genocida para exterminar a los palestinos.

Esto no es información, es propaganda sionista y genocida. https://t.co/kwlgADbVqV",5114,2677,384,74919,304,0,0,1,-0.6597,negative
1902045324555747619,IreneMontero,Irene Montero,Tue Mar 18 17:11:58 +0000 2025,Israel rompe el alto el fuego en Palestina bajo la impunidad y la protección que le dan Europa y EE.UU. ¡Hay que pararlos ya! https://t.co/rSf3j5IIfw,5341,2925,469,89114,149,0,0,1,0.0,neutral
1902031773229342937,IreneMontero,Irene Montero,Tue Mar 18 16:18:07 +0000 2025,"Fueron PSOE y PP quienes pactaron meter a Orban y Meloni en la Comisión Europea.Las personas LGTBI necesitan ahora más que nunca  que construyamos lugares seguros y no miremos para otro lado

Para parar al fascismo, más furia trans y más Orgullo LGTBI.",197,87,62,11455,252,0,0,0,-0.296,negative
