tweet_id,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,author,period,query,sentiment,sentiment_label
1895599988648108349,Fri Feb 28 22:20:30 +0000 2025,"En un eventual conflicto entre España y Marruecos, podéis dar por descontado el apoyo de los EEUU a los marroquís. 
Nuestro problema no es ése, sino la cobardía de la sociedad y la corrupción de la clase política española, que entregaría Ceuta, Melilla y Canarias con un lacito.",4,1,0,285,278,0,0,0,juanarza,baseline_feb,política España,-0.296,negative
1895599034100007375,Fri Feb 28 22:16:42 +0000 2025,"@TurpinNW En España el ""no pain, no gain"" no funciona. Lo social lo llevamos en el adn. Por eso una política liberal a lo USA jamás funcionaría. Eso lo entendió muy bien Franco, Felipe González (social democracia sin marxismo) y Aznar (reformas laborales proteccionistas). El PP sabe que..",1,0,1,22,289,0,1,0,quijoteysanchez,baseline_feb,política España,-0.8311,negative
1895598336079774063,Fri Feb 28 22:13:56 +0000 2025,"Siempre es Ayuso‼️

Madrid es la comunidad más perjudicada por el estipendio que @sanchezcastejon paga con el dinero de todos.
Nunca se ha plasmado la esquizofrenia en la que vive España como en el Consejo de Política Fiscal y Financiera de esta semana. https://t.co/CrBOvpCKJj",1,2,1,140,277,0,1,1,EErmua,baseline_feb,política España,0.34,positive
1895595467968573440,Fri Feb 28 22:02:32 +0000 2025,"@sanchezcastejon Claro, España remplaza la
Fuerza militar de los EEUU…no tienes ni la plata, ni la fuerza militar, ni política para hacer algo… vende humo",0,0,0,14,154,0,1,0,frenchylatino,baseline_feb,política España,0.0,neutral
1895594331106320810,Fri Feb 28 21:58:01 +0000 2025,"Alvise Pérez triunfa en Ceuta, mezclando populismo y retórica incendiaria pese a protestas. Su desprecio por la prensa y el apoyo militar abren un debate sobre la política en España. ¿Hasta dónde llegará? #AlvisePérez #Ceuta #Política https://t.co/PsdHDefKin",0,0,0,66,258,3,0,1,TeleCeuta_,baseline_feb,política España,0.0,neutral
1895594314803400992,Fri Feb 28 21:57:57 +0000 2025,"@AlanBarrosoA Att: Un Catalán que no se cree Español viviendo en España y chifla el himno del país de su pasaporte., pero se cree con la autoridad de opinar cómo se debe hacer política en otro país.",1,0,0,139,198,0,1,0,PierMontauti,baseline_feb,política España,-0.296,negative
1895593759615959492,Fri Feb 28 21:55:45 +0000 2025,"@WillyTolerdoo Y menos en España. Ahi an perdido los cojones los hombres de la política. Ademas recuerda en España los imigrantes 1, ciudadanos 2s",0,0,0,54,146,0,1,0,SergioRamosIII,baseline_feb,política España,0.0,neutral
1895592567997415568,Fri Feb 28 21:51:01 +0000 2025,"@GuajeSalvaje Volveréis a estar fuera de la política de España , como estabais antes , que error meter al comunismo en las instituciones",0,0,0,2,136,0,1,0,JUDELSA5,baseline_feb,política España,-0.4019,negative
1895592554886021153,Fri Feb 28 21:50:58 +0000 2025,"España debería prepararse para ser capaz de defender sus propios intereses. Una política de defensa no se improvisa de un día para otro y el mundo es un lugar peligroso, siempre lo fue.",2,0,1,504,185,0,0,0,wasipz,baseline_feb,política España,-0.2023,negative
1895591608546181517,Fri Feb 28 21:47:12 +0000 2025,"@Uliseschiva100 @Chivas 🤣🤣🤣🤣🤣🤣🤣🤣🤣
Ni que fuera de España o Inglaterra.
Lo unico que vendría a ganar,pérdida de dinero.
Van a comenzar a contratar extranjeros?
Porque con su política,esta cabron.",0,0,0,11,194,0,2,0,TelesGeniz,baseline_feb,política España,0.9814,positive
