tweet_id,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,author,period,query,sentiment,sentiment_label
1938285366269624325,Thu Jun 26 17:16:57 +0000 2025,"Alertan de la llegada de una ola de calor con temperaturas de hasta 42ºC y riesgo extremo de incendios forestales

https://t.co/NogV4VCePE

@E112Andalucia @aemet_esp @antoniosanz @juntasevilla @andaluciajunta @InteriorJunta

#ProtecciónCivil #Emergencias #España #Andalucía",0,0,0,44,273,4,6,1,Aljarafeymas,wildfires_june,incendios España,0.0,neutral
1938271156831764950,Thu Jun 26 16:20:29 +0000 2025,"🟣Un poderoso anticiclón, conocido como “domo de calor”, impactará en los próximos días el sur, centro y oeste de Europa, generando un fenómeno que retiene el calor e impide su dispersión.

🟣Países como España, Francia y Portugal enfrentarán temperaturas extremas que podrían https://t.co/HChmeYd6Rx",0,0,0,55,298,0,0,1,EquinoccioMedia,wildfires_june,incendios España,0.0,neutral
1938257273555492966,Thu Jun 26 15:25:19 +0000 2025,"🗞️ ¡Llegó el diario! ¡Buen día! Aquí tienes tu resumen diario de noticias para este jueves 26 de junio
¡Todo lo que pasó, explicado sin enredos! ⚡️

Debes saber qué 📰:
🇺🇸🇮🇷 El secretario de Defensa defendió el ataque a Irán y atacó a la prensa
Pete Hegseth calificó como “éxito https://t.co/cChZfdMCsu",0,0,0,48,301,0,0,1,libertadrelata,wildfires_june,incendios España,-0.6679,negative
1938240269016567829,Thu Jun 26 14:17:45 +0000 2025,"El Constitucional no vio la magnitud del intento del golpe d estado de Cataluña contra España. Fueron a tacar al país, junto con el 18 d Septiembre 2017.von incendios y barracas contra las fuerzas u cuerpos del Estado Español y cortando el paso los mossos de escuadra Amnistía no.",0,0,2,59,280,0,0,0,laquejique,wildfires_june,incendios España,-0.296,negative
1938229079829831757,Thu Jun 26 13:33:17 +0000 2025,"Hoy vi pasar sobre el Mediterráneo un Canadair CL215T del 43 Grupo, volaba de Málaga a Marbella. Comenzó el despliegue de verano para combatir los incendios en toda España.",12,0,0,282,172,0,0,0,MalvinasData,wildfires_june,incendios España,0.0,neutral
1938220930662015383,Thu Jun 26 13:00:54 +0000 2025,"#Actualidad 
La Alianza Civil contra el Fuego exige una reforma urgente de la normativa de protección contra incendios en España 

#AlianzaCivil  #Madrid #Fuego @FRAVM 

https://t.co/vlW7SsjOsj",3,0,0,85,193,4,1,1,eldiariodmadrid,wildfires_june,incendios España,0.0,neutral
1938213030464024840,Thu Jun 26 12:29:31 +0000 2025,"@eldiarioes González fue nuestra salida de una dictadura pero ver hoy lo que dice es una https://t.co/w58uYPh6gC ENTIENDE QUE HOY NO ES LA ESPAÑA QUE ÉL https://t.co/Ggo7F2B2F3 FÁCIL HABLAR PERO DIFÍCIL GOBERNAR,CON INDEPENDENTISTAS,PANDEMIA,DANA,VOLCÁN ,INCENDIOS,CORRUPCION,OPOSICIÓN Y BULO",3,2,0,27,292,0,1,2,lola68744942,wildfires_june,incendios España,-0.4466,negative
1938205009956491761,Thu Jun 26 11:57:39 +0000 2025,"@eldebate_com Fueron de chulitos, proclamaron un falsa independencia, alentaron el terrorismo callejero, cortaron carreteras, incendiaron Barcelona durante dos semanas, casi matan a varios policías y personas anónimas en sus casas por los incendios de contenedores, destrozaron tiendas, coches,",8,2,0,171,294,0,1,0,javierdelamata1,wildfires_june,incendios España,0.0,neutral
1938168191454216361,Thu Jun 26 09:31:20 +0000 2025,"🚨 En España, los incendios en fachadas se han multiplicado x7 en las últimas décadas.

La Alianza Civil contra el Fuego, que formamos con @APTBBomberos, @FRAVM, @consumidores, @esMontanas y @consumoasescon, reclama una reforma de la normativa de protección contra incendios. https://t.co/B9W59Xmg9H",3,0,1,66,298,0,5,1,afelma_es,wildfires_june,incendios España,0.0,neutral
1938135311344644574,Thu Jun 26 07:20:41 +0000 2025,"🔥 La Alianza Civil contra el Fuego exige una reforma urgente de la normativa contra incendios en España

📍Proponen:
– Reformar el CTE
– Detectores obligatorios
– Planes para colectivos vulnerables
– Formación ciudadana

https://t.co/J4IaY5RW2k https://t.co/qJcRl9ifKL",1,0,0,26,267,0,0,2,EcoconstruMag,wildfires_june,incendios España,-0.34,negative
1938129981625761813,Thu Jun 26 06:59:30 +0000 2025,"Los incendios forestales encienden las alarmas en países del norte de Europa, mientras dan un respiro a España
https://t.co/5bmhOg5Ux2",0,0,0,9,134,0,0,1,alav2012,wildfires_june,incendios España,0.0,neutral
1938102926909579354,Thu Jun 26 05:12:00 +0000 2025,"28 de junio | Riesgo de incendios forestales #IIFF en #España🇪🇸 | AEMET
https://t.co/k0uvCz0WEf
🔴extremo
🟠muy alto
🟡alto
🟢moderado
🔵bajo https://t.co/azSWunOIkZ",12,10,0,308,160,2,0,2,CSIF_forestales,wildfires_june,incendios España,0.0,neutral
1938102198506000583,Thu Jun 26 05:09:06 +0000 2025,"27 de junio | Riesgo de incendios forestales #IIFF en #España🇪🇸 | AEMET
https://t.co/k0uvCz1utN
🔴extremo
🟠muy alto
🟡alto
🟢moderado
🔵bajo https://t.co/t4AJJCYFkM",9,10,0,223,160,2,0,2,CSIF_forestales,wildfires_june,incendios España,0.0,neutral
1938084668483444880,Thu Jun 26 03:59:27 +0000 2025,"Los incendios forestales encienden las alarmas en países del norte de Europa, mientras dan un respiro a España.

Las estadísticas  muestran un fuerte incremento del impacto de las llamas en Francia y Reino Unido en lo que va de 2025.

https://t.co/Fottxfnl2x a través de @el_pais",6,6,0,320,279,0,1,1,ensgismau,wildfires_june,incendios España,0.0,neutral
1938064752951034349,Thu Jun 26 02:40:19 +0000 2025,"Lo que nos perdimos al ver Irán

Mientras todas las miradas estaban centradas en los ataques con misiles, las reservas de uranio y las represalias de Teherán, algunos acontecimientos graves pasaron desapercibidos:

— Bilderberg se reunió discretamente en Suecia. Directores",1,0,0,60,273,0,0,0,p3ns4r3sgr4t1s,wildfires_june,incendios España,-0.296,negative
