tweet_id,month,month_name,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,sentiment,sentiment_label
2001600281667076488,12,December,Thu Dec 18 10:27:49 +0000 2025,"Empezamos el último Consejo Europeo del año. 

Europa necesita unidad para avanzar, coherencia para defender nuestros compromisos y acción para fortalecer la Unión Europea. https://t.co/IstAn2ohvV",1707,588,809,41894,196,0,0,1,0.1027,positive
2001575151846973583,12,December,Thu Dec 18 08:47:58 +0000 2025,"RT @desdelamoncloa: 🔴 EN DIRECTO

Declaraciones del presidente del Gobierno, @sanchezcastejon, a su llegada a la sesión de trabajo del Cons…",0,149,0,,140,0,2,0,0.0,neutral
2001386774258491530,12,December,Wed Dec 17 20:19:25 +0000 2025,"Ampliarnos es completarnos. Así lo he defendido hoy en la Cumbre UE-Balcanes Occidentales en Bruselas.

Es, además, una apuesta estratégica por la paz, la seguridad y la prosperidad.

Los Balcanes Occidentales forman parte de nuestra familia europea y su futuro está en la UE. https://t.co/1Mi3uInm5A",1865,558,495,52879,300,0,0,1,0.0,neutral
2001273924915757552,12,December,Wed Dec 17 12:51:00 +0000 2025,"El Pacto de Estado Frente a la Emergencia Climática es un escudo para España.

La emergencia climática no espera. La historia no absolverá la inacción. Está en juego el futuro de quienes vendrán después.

Hagámoslo juntos, antes de que sea demasiado tarde. https://t.co/eem7Qwckle",1901,688,1245,105049,280,0,0,1,-0.5267,negative
2001269693374415005,12,December,Wed Dec 17 12:34:11 +0000 2025,"Cuidar el campo es también proteger vidas, hogares y pueblos enteros.

El Gobierno va a financiar los planes municipales contra inundaciones en los municipios de menos de 5.000 habitantes y, además, destinará 20 M€ para sus planes contra incendios. https://t.co/ZYQJ0jUR45",2336,848,691,46666,272,0,0,1,0.0,neutral
2001253478254121291,12,December,Wed Dec 17 11:29:45 +0000 2025,"RT @desdelamoncloa: 🔴 EN DIRECTO

El presidente @sanchezcastejon, clausura el acto 'Avanzando en el Pacto de Estado frente a la Emergencia…",0,109,0,,139,0,2,0,0.0,neutral
2001208723738378280,12,December,Wed Dec 17 08:31:55 +0000 2025,"Si no actuamos, Europa corre el riesgo de convertirse en un refugio sin hogares.

La verdadera medida de nuestra unión no está solo en los tratados sino en asegurar que todas las personas vivan con dignidad.

Mi reflexión en @POLITICOEurope:
https://t.co/ujqnJN7be4",2339,769,1304,168850,265,0,1,1,-0.7906,negative
2001052294415065161,12,December,Tue Dec 16 22:10:19 +0000 2025,"RT @desdelamoncloa: El presidente del Gobierno, @sanchezcastejon, ha intervenido en la XXXVI sesión ordinaria del Patronato de la @Red_Caro…",0,192,0,,140,0,3,0,0.34,positive
2000956080818659684,12,December,Tue Dec 16 15:48:00 +0000 2025,"RT @desdelamoncloa: El presidente @sanchezcastejon ha presidido la séptima reunión del Consejo de Política Exterior.

Ha destacado que la a…",0,144,0,,140,0,2,0,0.5859,positive
2000942782731698181,12,December,Tue Dec 16 14:55:09 +0000 2025,"Gracias, Pilar, por tu trabajo y dedicación.

Tu compromiso con el servicio público y tu esfuerzo por mejorar la vida de la gente es un ejemplo para todos y todas.

Contigo, gana Aragón.",3495,668,1125,190620,186,0,0,0,0.0,neutral
2000893173795840441,12,December,Tue Dec 16 11:38:02 +0000 2025,"RT @desdelamoncloa: 🔴EN DIRECTO

Rueda de prensa de la portavoz Pilar Alegría junto a las ministras de @CienciaGob e @IgualdadGob, Diana Mo…",0,99,0,,140,0,3,0,0.0,neutral
2000670582535282971,12,December,Mon Dec 15 20:53:32 +0000 2025,"Un abrazo y todo mi cariño a las familias de la mujeres asesinadas en Tarragona y Valencia por la #ViolenciaDeGénero.

Es una prioridad de país erradicar el machismo criminal que humilla, asesina y destroza vidas. 

Con firmeza y unidad, acabaremos con tanto dolor.

#NiUnaMenos",1642,428,723,99798,278,2,0,0,-0.5267,negative
2000638235165552859,12,December,Mon Dec 15 18:44:59 +0000 2025,"RT @desdelamoncloa: El presidente @sanchezcastejon ha presentado hoy el informe del balance del curso político, 'Cumpliendo'.

✔️ Un resume…",0,150,0,,140,0,2,0,0.34,positive
2000553979038629942,12,December,Mon Dec 15 13:10:11 +0000 2025,"Este Gobierno le sienta bien a España. 

A los españoles y españolas les renta este Gobierno de coalición progresista.

Seguiremos CUMPLIENDO. https://t.co/sxtk4UdypP",3819,963,4328,366270,166,0,0,1,0.0,neutral
2000551971225211183,12,December,Mon Dec 15 13:02:13 +0000 2025,"Garantizar la movilidad asequible es avanzar.

Antes de fin de año aprobaremos una extensión de ayudas al transporte con un ABONO ÚNICO para todo el país.

Trenes de Media Distancia y Cercanías y autobuses estatales por 60€ al mes para adultos y 30€ para menores de 26 años. https://t.co/upjTrJefl8",1988,686,779,113367,298,0,0,1,0.0,neutral
2000550156593234167,12,December,Mon Dec 15 12:55:00 +0000 2025,"Cero lecciones de quienes sueltan proclamas de ejemplaridad desde una sede pagada con dinero negro. 

La corrupción sistémica acabó con la salida del PP del Gobierno de España. 

Hoy, se actúa con contundencia mientras que el Partido Popular convive con esa corrupción. https://t.co/1NL5wbSUyp",4090,1353,1677,104197,293,0,0,1,0.4215,positive
2000547153526075712,12,December,Mon Dec 15 12:43:04 +0000 2025,"El compromiso del Gobierno de España y del @PSOE con el feminismo es absoluto.

Somos la primera organización política que ha decidido afrontar el problema del acoso y los abusos con toda transparencia y contundencia, animando y protegiendo toda denuncia. https://t.co/mAJ1ZqsNba",1588,551,906,56918,279,0,1,1,0.34,positive
2000522163602829432,12,December,Mon Dec 15 11:03:46 +0000 2025,"RT @desdelamoncloa: 🔴EN DIRECTO 

Rueda de prensa del presidente @sanchezcastejon para presentar el informe 'Cumpliendo'. https://t.co/Uihe…",0,202,0,,140,0,2,1,0.0,neutral
2000479374206746901,12,December,Mon Dec 15 08:13:44 +0000 2025,"Felicito a José Antonio Kast por su victoria en las elecciones y al pueblo chileno por una jornada electoral ejemplar. 

Chile es un país querido por los españoles y un socio estratégico para Europa con el que seguiremos trabajando y profundizando nuestra relación.",2713,311,855,484033,265,0,0,0,0.0,neutral
2000217147100852692,12,December,Sun Dec 14 14:51:44 +0000 2025,"We strongly condemn the anti-Semitic attack in Australia.

We must work tirelessly to eradicate anti-Semitism and terrorism. They have no place in our society.

My deepest condolences and support to the families of the victims.
https://t.co/bckRWTe36S",2539,484,2931,1094129,251,0,0,1,-0.875,negative
2000212098261864794,12,December,Sun Dec 14 14:31:41 +0000 2025,"Mucha precaución ante las tormentas y el fuerte temporal que está afectando a Valencia y Almería, con posibles inundaciones y crecidas repentinas de cauces.

Sigamos siempre las indicaciones de @proteccioncivil y @AEMET_Esp y evitemos desplazamientos innecesarios.",2068,539,1172,201500,264,0,2,0,0.0,neutral
2000208185668382960,12,December,Sun Dec 14 14:16:08 +0000 2025,"RT @PSOE: La diferencia entre el PP y nosotros es que, cuando sufrimos un caso de corrupción en nuestro partido, actuamos con contundencia;…",0,326,0,,140,0,1,0,0.0,neutral
2000178458119266702,12,December,Sun Dec 14 12:18:00 +0000 2025,"Hay en una cosa en la que el Sr. Feijóo y yo coincidimos. Ninguno queremos que él sea presidente del Gobierno.

Yo sí quiero serlo. Para subir las pensiones, seguir creciendo, defender a las mujeres o defender la paz en Gaza y en Ucrania.

Para eso queremos gobernar este país. https://t.co/S2PvHheuis",5912,1458,2855,382529,301,0,0,1,0.2023,positive
2000174588764754100,12,December,Sun Dec 14 12:02:38 +0000 2025,Todos los derechos y las libertades de las mujeres han venido de la mano de las propias mujeres y del @PSOE. https://t.co/3RtfgiC5vx,1959,664,1803,121038,132,0,1,1,0.0,neutral
2000170570126672320,12,December,Sun Dec 14 11:46:39 +0000 2025,El tiempo en el que los obispos interferían en la política se acabó cuando empezó la democracia en este país. https://t.co/ObdJV076nh,4500,1292,1969,382714,133,0,0,1,0.0,neutral
2000164838069490171,12,December,Sun Dec 14 11:23:53 +0000 2025,"A los españoles y españolas les renta este Gobierno.

¡Claro que renta tener un gobierno progresista! Y a la derecha le revienta. https://t.co/JVbkpRodd2",3996,986,3284,634299,153,0,0,1,0.0,neutral
