post_id,post_date,post_text,comment_id,comment_date,comment_author,comment_text,likes,retweets,replies,length,hashtags,mentions,links,sentiment,sentiment_label
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690848165871961,Wed Mar 11 11:16:59 +0000 2026,realejossarasua,"@sanchezcastejon We are launching the HODIO tool, Hate and Polarization Footprint, which will enable measuring the presence, evolution, and reach of hate speech on digital platforms👏👏👏👏👏👏👏👏👏👏",0,0,0,191,0,1,0,-0.8074,negative
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690795237920991,Wed Mar 11 11:16:47 +0000 2026,dieguitoosj,@sanchezcastejon Controla y censurame esto chapero sidoso https://t.co/4V1rZ8yLHv,0,0,0,81,0,1,1,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690768415404475,Wed Mar 11 11:16:40 +0000 2026,Hipotecemona,"@sanchezcastejon Ea, ea... 
No te quiere nadie. https://t.co/R5fqzCalzk",0,0,0,71,0,1,1,-0.296,negative
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690766272123235,Wed Mar 11 11:16:40 +0000 2026,realejossarasua,@sanchezcastejon Acierto presidente,0,0,0,35,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690724798874061,Wed Mar 11 11:16:30 +0000 2026,realejossarasua,@sanchezcastejon 👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,0,0,0,32,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690507156336662,Wed Mar 11 11:15:38 +0000 2026,DracarysInsane,@sanchezcastejon Que eres un corrupto y un traidor https://t.co/sO14ZnZyNH,0,0,0,74,0,1,1,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690464202535163,Wed Mar 11 11:15:28 +0000 2026,cibernautaAR,"@sanchezcastejon La imbecilidad en su máxima expresión.
Más zurdo, socialista, y nefasto, no se consigue. 
Pobre España!! 
🤦🤦",0,0,0,125,0,1,0,-0.4184,negative
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690367339286950,Wed Mar 11 11:15:05 +0000 2026,Noelia271976,@sanchezcastejon Gómez tiene que entregar el pasaporte.,0,0,0,55,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690348611678242,Wed Mar 11 11:15:00 +0000 2026,constan01,"@EsIzdaEsLadrona @sanchezcastejon 🤣🤣🤣Con H, no?",0,0,0,47,0,2,0,0.7506,positive
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690321935900917,Wed Mar 11 11:14:54 +0000 2026,AGuitllar,@sanchezcastejon Entiendo que colocais a algun amiguete de director de la herramiento con un sueldo de 100k al año no?,0,0,0,118,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690316881776653,Wed Mar 11 11:14:53 +0000 2026,fnacional_1936,@sanchezcastejon Derogaremos toda la escoria ideológica globalista,0,0,0,66,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690210581393683,Wed Mar 11 11:14:27 +0000 2026,homoedens,@sanchezcastejon Le cerrarán la cuenta a Óscar Puente?,0,0,0,54,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690143275303147,Wed Mar 11 11:14:11 +0000 2026,Noelia271976,@sanchezcastejon Pedrito Sánchez tienes miedo 😂😂eres un cobarde.,0,0,0,64,0,1,0,0.25,positive
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690109871857678,Wed Mar 11 11:14:03 +0000 2026,RubrumFlavo,@sanchezcastejon https://t.co/CQseegxavf,0,0,0,40,0,1,1,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690080981512368,Wed Mar 11 11:13:56 +0000 2026,IzanPN,"@sanchezcastejon Gracias por poner en marcha la herramienta HODIO, Pedro 😘❤️🌹",0,0,0,77,0,1,0,0.4215,positive
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690045803958331,Wed Mar 11 11:13:48 +0000 2026,Noelia271976,@sanchezcastejon Pedrito tienes miedo 😉 estáis de mierda hasta el cuello 😂Deja de inventar y manipular.,0,0,0,103,0,1,0,-0.2263,negative
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031690017672733170,Wed Mar 11 11:13:41 +0000 2026,jakirofan,@sanchezcastejon Se le acaba el chollo de los bulos a PPvox,0,0,0,59,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689952447095228,Wed Mar 11 11:13:26 +0000 2026,republicordie,@sanchezcastejon @desdelamoncloa Muy bien hecho Pedro ahora podré comprarme una vivienda y llegar a fin de mes.,0,0,0,111,0,2,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689914178207939,Wed Mar 11 11:13:17 +0000 2026,mariarobleslons,@sanchezcastejon @PSOE Ósea que nos vas a censurar si no te seguimos el relato.,0,0,0,79,0,2,0,-0.296,negative
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689873191543013,Wed Mar 11 11:13:07 +0000 2026,madcapfloyd,@sanchezcastejon Esta me vas a medir https://t.co/PpG1p2jh4d,0,0,0,60,0,1,1,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689802760982585,Wed Mar 11 11:12:50 +0000 2026,jhd02,@Elguerrerodel13 @sanchezcastejon https://t.co/8rxDFrKajG,0,0,1,57,0,2,1,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689762751275510,Wed Mar 11 11:12:41 +0000 2026,DeepBoll,@sanchezcastejon Los odiadores persiguiendo disidentes https://t.co/4ywyQj29aw,2,0,0,78,0,1,1,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689747639202081,Wed Mar 11 11:12:37 +0000 2026,melasudaoficial,@sanchezcastejon @desdelamoncloa Mayormente de la izquierda que amenaza y insulta al primer tuit.,0,0,0,97,0,2,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689682006786068,Wed Mar 11 11:12:21 +0000 2026,pitit5964,@sanchezcastejon @PSOE El odio lo trámites tú y los tuyos,0,0,0,57,0,2,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689614138691989,Wed Mar 11 11:12:05 +0000 2026,investronic,"@sanchezcastejon Llega la censura. Controlar a la gente que tiene otro discurso es de DICTADORES.

Eres un extremista muy peligroso para nuestra democracia.",0,0,0,156,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689588687671713,Wed Mar 11 11:11:59 +0000 2026,alvarezMcarmen,"@Gugui22985635 @sanchezcastejon Ahora dilo llorando. Ya era hora de poner freno al fascismo. Ya era hora de parar los discursos de odio. Ya era hora parar los bulos y las mentiras. La libertad de expresión no es mentir, insultar y difamar. Expresarse libremente desde la verdad, algo que no sabéis hacer.",0,0,0,304,0,2,0,-0.5267,negative
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689443967467977,Wed Mar 11 11:11:25 +0000 2026,Aitor_Tilla_1,@sanchezcastejon Los que venís aquí a apoyar a este retrasado y mala persona que llegó al poder aprovechando el dinero de negocios donde se prostituían a mujeres y hombres y luego pagáis a 2€ la gasolina sin rechistar os podéis ir a la mierda,0,0,0,242,0,1,0,-0.5574,negative
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689423981797475,Wed Mar 11 11:11:20 +0000 2026,jhd02,@sanchezcastejon Sanchez apoya terroristas.,0,0,0,43,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689262845116789,Wed Mar 11 11:10:41 +0000 2026,Mendafm,@sanchezcastejon @desdelamoncloa Empieza por ti! Te vas a poner a solucionar los problemas reales de los españoles?,0,0,0,115,0,2,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689220218032261,Wed Mar 11 11:10:31 +0000 2026,Jaime730546,@sanchezcastejon Estamos de acuerdo vuena decisión https://t.co/Z6dHtosEzn,0,0,0,74,0,1,1,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689213884633466,Wed Mar 11 11:10:30 +0000 2026,iker_rasa,@sanchezcastejon Si me das para probar el odiómetro viento tu cara lo reviento.. https://t.co/IGgbwwgtC9,2,0,0,104,0,1,1,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689192473039145,Wed Mar 11 11:10:25 +0000 2026,DeseoOculto4,"@sanchezcastejon vamos,mas o menos el odio que tienes a este país,hdlgp",2,0,0,71,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689135191138561,Wed Mar 11 11:10:11 +0000 2026,SandUgur,@sanchezcastejon 🥰🥰🥰,0,0,0,20,0,1,0,0.9716,positive
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031689080518463774,Wed Mar 11 11:09:58 +0000 2026,ArrancaloY,@sanchezcastejon https://t.co/5Gh6zi7i0I,0,0,0,40,0,1,1,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031688891858550903,Wed Mar 11 11:09:13 +0000 2026,Watawang,@sanchezcastejon Eres un FARSANTE. https://t.co/1f5Eiul9oX,0,0,0,58,0,1,1,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031688762137120857,Wed Mar 11 11:08:42 +0000 2026,Malvcasj,"@sanchezcastejon Odio eres tú.
Odio
Corrupto
Sin vergüenza 
Tramposo",4,0,0,68,0,1,0,-0.5574,negative
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031688677210882055,Wed Mar 11 11:08:22 +0000 2026,perseida04,@sanchezcastejon Pero ya hemos quitado el muro!!!!,0,0,0,50,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031688515960836133,Wed Mar 11 11:07:43 +0000 2026,Hausen1970,"@sanchezcastejon @desdelamoncloa La Hestapo, vamos",0,0,0,50,0,2,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031688482163151278,Wed Mar 11 11:07:35 +0000 2026,MGBeretta,"@sanchezcastejon Tú eres el que has envenenado a la población colocando el Muro. O conmigo o fascistas...de que vas ,no sabes que inventar,te calaron ya en Europa y EEUU.",2,0,0,170,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031688480665809174,Wed Mar 11 11:07:35 +0000 2026,Gablimon,"@sanchezcastejon Esto suena a ""voy a controlar hasta lo que se dice mí "" deja de quitarnos la libertad y de perseguir al que no te baila el agua.",1,0,0,145,0,1,0,-0.296,negative
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031688480451940733,Wed Mar 11 11:07:35 +0000 2026,JAIME44078855,@sanchezcastejon Censura,0,0,0,24,0,1,0,0.0,neutral
2031686565219426531,Wed Mar 11 10:59:58 +0000 2026,"Ponemos en marcha la herramienta HODIO, Huella del Odio y la Polarización, que p...",2031688455315415434,Wed Mar 11 11:07:29 +0000 2026,paeceque,@sanchezcastejon Vas a acabar con tu negocio? No me lo creo...,0,0,0,62,0,1,0,-0.296,negative
