tweet_id,month,month_name,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,sentiment,sentiment_label
1882163997899907536,1,January,Wed Jan 22 20:30:40 +0000 2025,"En #WashingtonDC con mi gran amigo @BolsonaroSP brindando por la nueva era Trump. 

Y con el gran @AndreCVentura de @PartidoCHEGA  y @MichelleBolsoBR  apoyando la derrota de la tiranía de Lula y Moraes, y la vuelta de @jairbolsonaro al poder en Brasil. 
🇪🇸🇧🇷🇵🇹 https://t.co/hgpPV1NfKL",540,164,23,28466,284,1,5,1,0.0,neutral
1882136533064626623,1,January,Wed Jan 22 18:41:32 +0000 2025,"Malditos los que han traído a estos monstruos a nuestras calles. 

¡Fronteras seguras ya!
¡Deportaciones ya! https://t.co/L3CAoyjftN",16487,7061,624,240149,132,0,0,1,0.0,neutral
1884938743490232775,1,January,Thu Jan 30 12:16:31 +0000 2025,"Los españoles sin vivienda y mientras tanto: ayudas legales a las mafias de la okupación, los inmigrantes ilegales en hoteles, y el PNV recibiendo como regalo un palacio que es patrimonio de los españoles.

Haremos todo lo posible para devolver a los españoles su patrimonio, para https://t.co/tAoWAUDhbv",6738,3321,375,102793,304,0,0,1,-0.5574,negative
1884923737201377470,1,January,Thu Jan 30 11:16:53 +0000 2025,"¡Malditos delincuentes!

El patrimonio de los españoles no se regala a nadie, menos a los enemigos de España. Punto.",6838,2566,459,157851,116,0,0,0,-0.3595,negative
1884911610940240287,1,January,Thu Jan 30 10:28:42 +0000 2025,"Hoy en Mañanas en Libertad @RadioLibertadES  con @ldpsincomplejos dejando claro que la única forma de acabar con este Gobierno -que es el culpable de la situación de pensionistas, trabajadores, familias y jóvenes- es votar NO a cualquier cosas que proponga Sánchez. https://t.co/w7EceeVVik",2393,926,355,389401,289,0,2,1,-0.4466,negative
1884667843972649285,1,January,Wed Jan 29 18:20:04 +0000 2025,"Es desolador contemplar que el PP vota junto a Sánchez para regalarle un palacete al PNV, para promocionar la okupación, para ayudar de nuevo a este gobierno ruinoso cuando está en dificultades. 

Pero no caben las lamentaciones.  Hay que hacer posible la alternativa. Si el PP",8067,3380,539,162751,277,0,0,0,-0.296,negative
1884324141840670856,1,January,Tue Jan 28 19:34:19 +0000 2025,"En todas las naciones hay estructuras del Estado profundo dispuestas a perseguir a los gobernantes democráticos solo por defender la seguridad, el interés nacional y a su propio pueblo.

Todo nuestro apoyo a @GiorgiaMeloni ante este nuevo ataque. https://t.co/lXmzzLal3l",4969,1977,231,93587,270,0,1,1,0.1027,positive
1884182374164107513,1,January,Tue Jan 28 10:10:59 +0000 2025,"España padece el gobierno más corrupto de la democracia y algunos siguen haciéndole el juego atacando a VOX de formas miserables. Son más corruptos que el número 1.

Pero vamos a derrotar a ese gobierno y a quienes pretendan sostenerlo 

¡Avanzamos!",10403,3273,840,175228,249,0,0,0,0.0,neutral
1883964755523842301,1,January,Mon Jan 27 19:46:14 +0000 2025,"Como presidente de @PatriotsEU es un orgullo para mi anunciaros que el 8 de febrero se celebrará en Madrid la cumbre con los líderes europeos que protagonizarán el futuro de Europa. 

🎟 Saca tu entrada gratuita aquí: 

https://t.co/mCycdLFbFE https://t.co/lNkwlpdf9U",5075,2191,327,146124,266,0,1,2,0.0,neutral
1883936585302884753,1,January,Mon Jan 27 17:54:18 +0000 2025,"Se cumplen 80 años de la liberación de Auschwitz, símbolo del Holocausto, el genocidio de más de 6 millones de judíos por el simple hecho de ser judíos. 

Es un insulto que el gobierno de Sánchez haga el paripé en Auschwitz  mientras  va de la mano de los terroristas del 7 de",5846,1673,984,748916,276,0,0,0,0.0,neutral
